"00","プログラミング言語",1,"1","","2022-06-25 21:02:21","2022-06-25 21:02:21"
"01","データベース",2,"1","","2022-06-25 21:02:36","2022-06-25 21:02:36"
"02","ネットワーク",3,"1","","2022-06-25 21:02:48","2022-06-25 21:02:48"
"03","セキュリティ",4,"1","","2022-06-25 21:03:22","2022-06-25 21:03:22"
"04","OS",5,"1","","2022-06-25 21:03:32","2022-06-25 21:03:32"
"05","ITサービス",6,"1","","2022-06-25 21:03:43","2022-06-25 21:03:43"
"06",".NET Framework",10,"1","","2022-06-25 21:24:13","2022-06-25 21:24:13"
"07","IT全般",7,"1","","2022-08-13 18:06:51","2022-08-13 18:06:51"
"99","情報処理技術者試験",99,"1","","2022-06-25 21:03:58","2022-06-25 21:03:58"
