"game";"game_name";"description";"play_style";"status";"importance";"rgdt";"updt"
"0001";"リバーシ";"リバーシ、いわゆるオセロです。";"2";"1";5;"2022-08-29 15:47:48";"2022-08-29 15:47:48"
"0002";"将棋";"将棋です。";"2";"1";5;"2022-08-29 19:27:51";"2022-08-29 19:27:51"
"0003";"チェス";"チェスです。";"2";"0";5;"2022-08-29 19:27:51";"2022-08-29 19:27:51"
"0004";"しりとり";"しととりをします、";"1";"1";5;"2022-08-29 19:27:51";"2022-08-29 19:27:51"
